,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,PBP,PBP,PBP,PBP,PBP,PNN,PNN,PNN,PNN,PNN,PNN-E,PNN-E,PNN-E,PNN-E,PNN-E,NLM,NLM,NLM,NLM,NLM,NLM-E,NLM-E,NLM-E,NLM-E,NLM-E,DNNC-R,DNNC-R,DNNC-R,DNNC-R,DNNC-R
,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw
0,2.903190766143308,0.9745289256693235,-1.6696184968236025,0.9985549132947977,9.171469856564913,2.86127642100449,1.322922261371888,-2.359767159480986,0.9393063583815029,10.521130394003539,3.020824656246562,0.9129062440131727,-1.391925392212447,0.9754335260115607,5.985586197290131,2.9784014513129895,0.8779415780454701,-1.3048789826267027,0.9956647398843931,6.523612476232803,3.3897184218758984,1.0484821475784356,-1.330424591297202,0.9710982658959537,6.376590491679479,2.9134738783969176,0.8600620368522599,-1.3610030398898196,0.9971098265895953,7.417632892749606,2.467704682253618,0.9312798090581189,-1.7194325512948772,0.9783236994219653,8.633065840229111
1,2.5296875794797975,0.6550406633925226,-1.3533492783727001,0.9985549132947977,7.6421857593289975,2.9608015209821956,1.3676601450131267,-2.280309685677073,0.9479768786127167,10.707643262756717,3.3424996556439917,1.2249680414009243,-1.926149336166309,0.9927745664739884,10.543116746561774,2.9381608159968167,0.8665335792945797,-1.3341140690678053,0.9956647398843931,7.170957061970207,3.024180001698034,0.9588915043469557,-1.4182445256565905,0.9898843930635838,8.73826907746516,2.977783764691791,0.9137260342418048,-1.340098863453325,0.9971098265895953,7.776008694318768,2.327791323041048,0.8840802539341531,-1.666250127416156,0.9754335260115607,8.613692802724229
2,2.927068145800899,0.9255550689759118,-1.543714213323661,0.9985549132947977,7.66955835529687,3.4647581188283008,1.730634041449389,-2.4952606614313035,0.9176300578034682,11.203986219963037,3.0546053103445012,0.9653172887926093,-1.412036861124614,0.9855491329479769,6.801767775724297,3.0260090607644505,0.9736053608418338,-1.5208942606451028,0.9971098265895953,8.639392481782776,2.8996217701101177,0.8705933386372954,-1.2969876424662212,0.9841040462427746,6.369686128761396,2.918297830358103,0.9088110020504947,-1.3671290194087697,0.9985549132947977,7.30777075649872,2.82505596347604,1.1827955763249955,-1.9740663902646958,0.9667630057803468,11.642093052378994
3,4.265027714267816,1.5955258527348333,-1.7855151279491899,0.9985549132947977,18.013594790285442,2.9319126807021187,1.3305388433095144,-2.392257917184534,0.9436416184971098,10.626596298740834,2.9337378574682242,0.9016690507717602,-1.3765546162409277,0.9494219653179191,5.708148655104864,3.0331662296155915,0.9813379642026755,-1.5110159625737407,0.9956647398843931,7.7484976057818775,2.8500279184001123,0.8493664355441908,-1.231235764986637,0.9913294797687862,5.396683585847588,2.8715148403582598,0.9151696717953183,-1.4024243556004186,0.9956647398843931,8.473711599381998,2.1370030554065647,0.9076836715333106,-1.9005881290210342,0.9884393063583815,9.630749792801026
4,2.751083216490897,0.7957786928169648,-1.5742772128224516,1.0,9.913875616055043,3.0668548980240575,1.3568171179206563,-2.298247033854713,0.9465317919075145,10.604049531769869,3.197001659210509,1.043750680918832,-1.5144949158707504,0.953757225433526,6.930677661920541,3.139402638231041,1.0063052124975471,-1.5580692262118334,0.9956647398843931,8.574492649669155,2.9241159012450715,0.9453366728749755,-1.6555038328622007,1.0,9.09578643313304,2.9651343381532675,0.903458941468926,-1.33954359248041,0.9927745664739884,7.109468389949193,2.1341916398662333,0.912273712920888,-1.6862511962563451,0.9826589595375722,8.758475250866768
5,2.3797142664937185,0.9357268926334462,-1.700108070428649,0.9985549132947977,9.551205304795433,2.340340714431962,1.1447576572155556,-2.1964215221377823,0.9494219653179191,9.980131894927316,2.194725346134676,0.7673047030577459,-1.2468141993629316,0.9884393063583815,5.63041709012643,2.282028125426033,0.8208081140584557,-1.4091173419043586,0.9942196531791907,7.2755874545069785,3.3969118099254487,1.0853008491872427,-1.44120717715554,0.9682080924855492,8.301466102154254,2.07301382998808,0.7286321835929712,-1.2581092847828517,0.9942196531791907,5.984702974533399,1.7955691090843469,0.8285952335703048,-1.6422480076256514,0.9884393063583815,8.228830280504663
6,2.950429664302847,0.913880187441043,-1.5046286294407556,1.0,7.878962387250065,2.840614298840107,1.2795305570288091,-2.267563006217289,0.9407514450867052,10.4651131087027,3.218604686689704,1.2121943681011296,-1.9424485018115896,0.9985549132947977,12.04606570234433,3.029554038882167,0.9138891398471485,-1.4547179839094297,0.9971098265895953,7.809687754700013,3.0411081028329967,0.9129494747609949,-1.2640700228597626,0.9927745664739884,6.594218552950649,2.9165482997751235,0.8951694964449657,-1.3801834951790255,0.9956647398843931,7.829756634976554,2.2240092245061667,0.9315713382328602,-1.7279897791606695,0.9855491329479769,9.045043448396438
7,2.9323887576919336,0.9209337981595566,-1.4515418306231171,0.9985549132947977,7.561602822160494,3.332630158145317,1.3489038823155561,-2.2845680215997586,0.9479768786127167,10.845220083072629,3.323973472019789,1.241051647769866,-1.8696421984393947,0.9812138728323699,9.72797303998269,3.2741074714551184,1.0300752063007506,-1.578752137819566,0.9985549132947977,8.714695702695353,3.1514397279862396,1.0011038905825127,-1.3691099723932347,0.9869942196531792,7.056064879641936,2.8881431429256756,0.8928611885556601,-1.392211453979806,0.9956647398843931,8.060772462420239,2.5122656747130487,1.0945662638765874,-1.8806720777834756,0.9855491329479769,10.698209064202615
8,2.7745671006506254,0.8873787229971307,-1.5497654387667645,1.0,11.503519612036287,2.9065992999314165,1.2956620921495134,-2.309316286419705,0.9364161849710982,9.994350304473041,2.715165902873323,0.8263102085876743,-1.2260245257638283,0.9638728323699421,5.316444499252383,2.838882788009416,0.9075187803257381,-1.4333393043995994,0.9942196531791907,7.213315826587207,2.684417597540785,0.7881961869829239,-1.2063682353527099,0.9913294797687862,6.16168822534385,2.7272127262905133,0.8645957913017486,-1.3636626365866318,0.9971098265895953,7.800999583421073,2.3712353980355108,0.9862894840777059,-1.8810240386186525,0.9783236994219653,9.55210699219374
