,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,PBP,PBP,PBP,PBP,PBP,PNN,PNN,PNN,PNN,PNN,PNN-E,PNN-E,PNN-E,PNN-E,PNN-E,NLM,NLM,NLM,NLM,NLM,NLM-E,NLM-E,NLM-E,NLM-E,NLM-E,DNNC-R,DNNC-R,DNNC-R,DNNC-R,DNNC-R
,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw
0,3.0420527017623886,0.6591123435453604,-1.4161436846057631,1.0,7.5511501162614705,3.083399310322096,0.9522244044457479,-1.9108980195116376,0.96875,5.934673249020923,2.808500486877267,0.5483053063610949,-0.7756758385814166,0.953125,3.521313924741467,2.7301514975415726,0.476864161766808,-0.677101371857497,0.998046875,4.101362321802008,2.8786417554344954,0.6040055587931538,-0.6771155769685119,0.998046875,7.578298025375393,2.761098212568144,0.5167339440875743,-0.818379964022808,1.0,5.6608960791969425,2.038741299613195,0.8006030856592157,-1.3974363822954912,0.974609375,6.93621569874351
1,2.7630659639748925,0.5913089403778377,-1.1017143702776089,1.0,6.603433464719015,2.8331668834709154,0.9858711400615497,-2.0502255614952336,0.986328125,7.223286901199455,2.8858924102240398,0.5274772623556544,-0.8102020084313981,0.98828125,4.495307171213978,2.724367867750304,0.5236895710160646,-0.8578403888811744,1.0,5.664852693860511,2.9148348442412724,0.5767065158641006,-0.8409266388959407,0.994140625,5.293739153632847,2.80435314519383,0.5379667257485595,-0.8437733484921284,1.0,4.878129285806243,2.143499882608422,0.9021924821027387,-1.6422279540011226,0.984375,8.871684366231117
2,3.4064744008890266,0.7072404194748589,-1.2664061325531049,1.0,7.552599490774185,2.6928677808142325,0.8668767070447035,-1.8874316035672019,0.990234375,7.592605563126077,3.0588686405815,0.5417562840172746,-0.908508078377408,0.9296875,3.3770958030804454,2.5820834367112213,0.5234534219807303,-0.969167686448013,0.998046875,5.354104583166215,2.869727900723166,0.5631897373047714,-0.6981281846232346,0.98046875,4.074365764426618,2.6258278293300044,0.5256147815056065,-0.9728880225643581,0.998046875,5.649296060147526,2.7156776663590065,1.0088743289461313,-1.770240792442623,0.974609375,11.022205843376451
3,3.0132872189061395,0.8153568671758091,-1.415225995341867,0.998046875,7.481547660359227,3.3887388005364687,1.2565639093054708,-2.4041416504830826,0.921875,9.580847319581984,3.36631545294844,0.9682806141673361,-1.4938576215453878,0.98046875,6.812076572538533,3.1096701850067676,0.858617881330378,-1.3623436056617528,0.998046875,6.895117082954085,3.0268651693441573,0.8099189045570179,-1.1601770820750406,0.9921875,5.732194491652125,3.024931773292374,0.8283658655118032,-1.362949813769466,0.998046875,7.9105968372146,3.1954128306718763,1.2472416789857947,-1.7100346233492736,0.9609375,10.972801472448488
4,3.23614526317402,1.0785096657385065,-1.8443935069578448,1.0,10.746157353284751,5.078088772377731,2.3019763565227467,-2.7299637650620183,0.91796875,13.108346537606884,3.4487304035267288,1.2421990437700177,-1.8861881531226183,0.998046875,12.685943003745425,3.375080242699686,1.0308641798245404,-1.5234593293833019,0.998046875,7.865255151187432,3.187450623010504,1.071136170818693,-1.5577625678847213,0.984375,10.37993701599175,3.151723993978064,0.9535095743297306,-1.4364241088099992,0.990234375,7.639832325223757,2.785898867211574,1.1696422710505643,-2.0649282396224278,0.982421875,11.396074414426792
