,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,MC dropout 400,PBP,PBP,PBP,PBP,PBP,PNN,PNN,PNN,PNN,PNN,PNN-E,PNN-E,PNN-E,PNN-E,PNN-E,NLM,NLM,NLM,NLM,NLM,NLM-E,NLM-E,NLM-E,NLM-E,NLM-E,DNNC-R,DNNC-R,DNNC-R,DNNC-R,DNNC-R
,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw,rmse,crps,log_score,picp,mpiw
0,0.5647686104004243,0.3095059797486384,-0.7620121640266984,0.9774859287054409,2.651795167214334,0.571176703186617,0.31769603508814054,-0.856165411878219,0.9446529080675422,2.2636433938795433,0.5718474724381699,0.30209087522202316,-0.7139949042385941,0.949343339587242,2.08367626759238,0.5455395721537981,0.33282458618341615,-0.6827429897809841,0.9681050656660413,3.0922918013513723,0.5507051372453932,0.30066386135393247,-0.6937935706091004,0.9596622889305816,2.294918803625062,0.531869286243262,3.2190289502268934,-0.7157416528679275,0.9737335834896811,51.615202868512604,0.4942596180280445,0.2565967279182367,-0.12423811809881709,0.9540337711069419,2.1890770686325087
1,0.5883817011361253,0.32005929886337986,-0.7977612803032227,0.975609756097561,2.7391041489056884,0.6118355402578486,0.3412120134131044,-0.9269671264116673,0.9446529080675422,2.446366782387297,0.5887756068383659,0.31286244597889384,-0.7400275930436137,0.9643527204502814,2.2764532941487827,0.5691544015742294,0.3029519226212939,-0.7379253678462373,0.9784240150093808,2.5238138387273326,0.620931114896065,0.332074948643872,-0.818426593896004,0.9606003752345216,2.5013189980163384,0.5715042063627094,0.3147649695674863,-0.7398483773286507,0.9784240150093808,2.6722530342666437,0.5283819449177065,0.2750852079147379,-0.17130463328587295,0.9634146341463414,2.2574573661162676
2,0.5972071631138307,0.3151780654282321,-0.8047221214656385,0.9774859287054409,2.6226428489697478,0.6014746860617726,0.33478887846850747,-0.9088823180679098,0.9465290806754222,2.4118367116609156,0.5860245810142405,0.30917623528153443,-0.7300620173948442,0.9671669793621013,2.2200198270013685,0.5555480259339328,0.35759242620168114,-0.771564424318289,0.9831144465290806,3.4869559701801096,0.5569044924139647,0.29886666923144545,-0.7439444808900105,0.9849906191369606,2.5999971194973637,0.5702131250860252,0.3320112396704946,-0.7736414521784103,0.9784240150093808,2.9832572613586463,0.5306324098046137,0.27784050645297853,-0.16748503524941166,0.9521575984990619,2.1962797235164304
3,0.5662481149409359,0.30980703898245043,-0.789060549239289,0.9784240150093808,2.5642209326427277,0.5925547515722662,0.33036141629722626,-0.894450826028843,0.9474671669793621,2.3794274665260287,0.5723878783436308,0.3066915583801733,-0.7356115775002199,0.9634146341463414,2.2713952384091587,0.5323009343341096,0.28348904848622236,-0.6497513835530054,0.9681050656660413,2.246168602606966,0.5739052011350797,0.30377627474250424,-0.6994333062925804,0.9587242026266416,2.1923959679771863,0.5624756971848507,0.294871086721316,-0.671502108828117,0.9681050656660413,2.215345204720675,0.5190796046802502,0.2747088174640154,-0.16704741128943248,0.9634146341463414,2.375111684324885
4,0.5482966449224,0.2928035969022199,-0.6958867788245888,0.9652908067542214,2.294106748433205,0.5871959572364255,0.3274722769530101,-0.8834076845063146,0.9455909943714822,2.332205452380082,0.5707059464514617,0.30002283122384016,-0.6823919277650938,0.949343339587242,1.997891105388226,0.5564816989708603,0.297584263496891,-0.6958005112821595,0.9765478424015009,2.458867814418285,0.5945725149571041,0.3164122886321735,-0.7567177155009661,0.9596622889305816,2.3122801968378632,0.5773914480786915,0.30282097320573903,-0.6964452569868226,0.9765478424015009,2.3780682645562545,0.5212370670890171,0.27288582244845244,-0.15186821142382712,0.9643527204502814,2.3606779734110517
5,0.6194339327684326,0.33017592341931373,-0.8329643760287695,0.9765478424015009,2.7366057173644487,0.5868922136917036,0.32798391000469557,-0.8847047252938091,0.9455909943714822,2.3549880509357206,0.5910128067999648,0.33721705429437776,-0.8013653295687315,0.9643527204502814,2.784170497491992,0.5437355540783079,1.055640929265355,-0.7224274205780487,0.9821763602251408,15.224592045093281,0.5763793866045256,0.30639124203944146,-0.7278460425705573,0.9606003752345216,2.186292912921833,0.5595756972527373,0.30762076968529284,-0.7227733036858608,0.9774859287054409,2.5685631969917475,0.5087532736331608,0.26588700896356837,-0.12890624043738502,0.9643527204502814,2.267785431594546
6,0.5563224049634008,0.30100111575006316,-0.7422181287520181,0.9643527204502814,2.2973862152513416,0.5708507047810121,0.31856720545900263,-0.8563170417526675,0.9540337711069419,2.280233989592986,0.5400747509114553,0.28756857305188743,-0.6585597418342797,0.974671669793621,2.2894257578140578,0.522971949269206,0.28265933851692426,-0.6739769472747024,0.9774859287054409,2.3326974496643866,0.5750535029074559,0.30610745489022206,-0.7191393500798999,0.9540337711069419,2.0562391249155496,0.5279879349104817,0.283637619670268,-0.6615125253732695,0.9737335834896811,2.304574877252794,0.48296104039983045,0.2477065978880366,-0.024168874453068735,0.9624765478424016,2.007498960241332
7,0.5641578324699015,0.30433479233603106,-0.7649536572121026,0.9699812382739212,2.3939571378031372,0.5751711758329261,0.31955938051655197,-0.8643179613010252,0.9437148217636022,2.309091462106237,0.6922800896951167,0.42246816783872704,-0.8334506729723957,0.948405253283302,3.940723803619792,0.5342618185330135,0.30755555456008243,-0.7118510830076559,0.9634146341463414,2.7531974418665666,0.5350679282401751,0.27998909721999,-0.644555041314978,0.9671669793621013,2.104938058741577,0.5648119900105801,0.3064670912883002,-0.7260138583016251,0.9652908067542214,2.460238878294797,0.5033041553619623,0.2606210538477138,-0.12402730371168864,0.950281425891182,2.1080239857495076
8,0.5588979668067794,0.30185351058046084,-0.744503137795972,0.9737335834896811,2.405995443745822,0.5692620031003528,0.31622594823253874,-0.8532113139933267,0.9455909943714822,2.269521692627836,0.5709702911770621,0.29617971645678903,-0.6243688985845954,0.9559099437148217,2.090318972719992,0.537106286185382,0.29335144898807436,-0.6553900209413566,0.9681050656660413,2.4038150606587205,0.5380062708545125,0.28174869747884573,-0.6272576636347156,0.9652908067542214,2.1342467382645007,0.5607721387328637,0.3100481767580238,-0.7063673303663954,0.9699812382739212,2.5854717798799416,0.5020108904351243,0.2595965194547328,-0.09830445869541682,0.9596622889305816,2.2313017176067262
9,0.5878541787234682,0.3204471025108873,-0.8123207240044107,0.9774859287054409,2.5270462806201013,0.58409841357898,0.32652631620900036,-0.8799660650579917,0.949343339587242,2.34509139486026,0.660237873040455,0.3523092856850315,-0.8178473770731807,0.9577861163227017,2.78025700242599,0.5483706465986052,0.2988373526432082,-0.7206310194048162,0.9803001876172608,2.484324760616323,0.5703185689048915,0.30203633727934315,-0.7201026752821508,0.9727954971857411,2.3911703160466944,0.5429645689461434,0.2920159276506192,-0.7164726158765908,0.9821763602251408,2.3664465545293236,0.49968255758048397,0.25839271291545357,-0.11240635452359159,0.9530956848030019,2.068052133876497
